company_size,industry,lead_source,website_visits,pages_per_session,email_opens,email_clicks,content_downloads,webinar_attended,demo_requested,days_since_first_touch,days_since_last_activity,converted
1-10,Technology,Direct,3,8.1,2,2,1,0,0,50,68,0
1-10,Financial Services,Direct,1,7.1,2,1,0,0,0,133,73,0
1000+,Technology,Paid Ads,11,3.2,4,3,2,0,0,110,82,1
1-10,Education,Event,5,6.7,4,1,0,0,0,160,58,0
11-50,Healthcare,Social Media,6,4.8,1,1,3,0,0,41,3,0
1-10,Retail,Direct,8,8.4,1,1,1,0,0,3,20,0
1-10,Professional Services,Referral,4,7.6,2,0,4,0,0,72,37,0
51-200,Education,Event,1,6.5,3,0,2,0,0,92,86,0
11-50,Technology,Paid Ads,5,3.8,1,1,1,0,0,103,18,0
51-200,Professional Services,Social Media,4,6.8,4,0,1,0,0,157,76,0
51-200,Professional Services,Event,6,6.1,4,2,1,1,1,123,57,0
501-1000,Technology,Direct,6,10.4,7,1,1,0,0,160,64,1
1-10,Professional Services,Paid Ads,4,10.8,4,1,2,0,0,131,9,0
501-1000,Healthcare,Organic Search,4,9.4,2,0,4,0,0,66,32,0
51-200,Retail,Direct,6,4.5,1,1,1,0,1,147,41,1
11-50,Manufacturing,Social Media,6,1.4,4,0,0,0,0,59,43,0
201-500,Financial Services,Organic Search,4,11.2,4,1,1,1,0,146,78,1
501-1000,Technology,Referral,2,11.9,2,2,2,0,0,126,30,1
11-50,Technology,Direct,3,2.4,1,1,1,0,1,40,78,0
1000+,Technology,Direct,5,8.5,5,1,1,1,0,11,76,0
51-200,Retail,Paid Ads,5,5.7,2,0,0,0,0,159,57,0
51-200,Healthcare,Event,7,2.6,5,0,1,0,0,140,27,0
1000+,Financial Services,Referral,6,12.0,2,2,0,1,0,10,8,0
11-50,Retail,Paid Ads,7,11.3,6,1,1,0,0,45,21,0
501-1000,Retail,Event,5,11.8,1,0,3,0,0,87,54,1
11-50,Manufacturing,Paid Ads,2,2.6,1,1,2,1,1,94,19,0
201-500,Education,Paid Ads,3,6.4,5,0,3,0,0,68,81,0
51-200,Healthcare,Organic Search,3,10.9,4,0,3,1,0,35,36,0
11-50,Professional Services,Organic Search,2,8.4,2,1,0,0,0,120,25,0
51-200,Technology,Paid Ads,4,5.8,2,1,3,0,1,132,56,0
11-50,Retail,Direct,2,6.7,5,1,1,0,1,115,14,0
1-10,Education,Paid Ads,3,1.4,1,0,3,1,1,172,74,0
1-10,Professional Services,Social Media,2,7.7,3,0,0,0,0,71,49,0
11-50,Manufacturing,Paid Ads,1,10.5,2,1,0,0,0,97,83,0
1-10,Retail,Direct,2,1.0,2,0,1,0,0,57,76,0
11-50,Healthcare,Social Media,8,2.8,6,1,2,0,0,171,7,0
201-500,Retail,Direct,5,6.7,2,1,2,0,0,75,80,0
201-500,Professional Services,Paid Ads,5,7.2,4,0,3,1,0,72,4,1
201-500,Education,Referral,8,4.8,1,1,1,0,0,134,71,0
11-50,Manufacturing,Organic Search,5,1.3,4,1,1,0,0,52,32,0
501-1000,Technology,Organic Search,3,9.2,2,2,2,0,0,66,30,0
51-200,Manufacturing,Referral,4,3.7,2,1,2,0,0,151,72,0
1-10,Technology,Event,5,8.1,0,0,2,0,0,4,24,0
1-10,Financial Services,Organic Search,8,7.2,5,2,0,0,0,7,81,0
201-500,Financial Services,Social Media,5,5.7,1,1,1,1,0,156,3,0
11-50,Retail,Social Media,10,7.5,3,2,1,0,0,51,15,1
51-200,Technology,Referral,3,8.6,2,1,6,0,0,140,32,0
1000+,Technology,Event,3,7.3,1,1,1,0,0,124,25,0
1-10,Technology,Referral,6,7.1,2,1,0,0,0,36,78,0
1-10,Professional Services,Direct,11,5.8,3,0,1,1,0,34,81,1
1000+,Retail,Event,6,5.7,2,0,1,0,0,177,37,0
51-200,Technology,Direct,4,6.4,2,0,1,0,1,160,51,1
1-10,Technology,Paid Ads,5,6.0,5,0,1,1,0,47,30,0
501-1000,Manufacturing,Event,8,5.8,3,0,1,0,0,87,36,0
501-1000,Financial Services,Direct,3,3.3,2,0,1,0,0,155,30,0
51-200,Manufacturing,Organic Search,5,9.0,3,0,1,0,0,45,21,0
51-200,Healthcare,Referral,4,2.5,1,0,5,0,0,119,62,0
11-50,Education,Direct,4,11.0,2,1,0,0,1,67,10,1
1-10,Financial Services,Paid Ads,3,7.9,4,1,0,0,0,158,26,0
51-200,Retail,Referral,7,1.5,5,0,2,1,0,51,9,1
11-50,Technology,Social Media,2,8.2,4,1,2,0,0,78,40,0
201-500,Education,Event,3,5.0,3,2,0,0,0,126,60,1
501-1000,Education,Organic Search,5,11.2,5,0,1,0,0,121,46,0
1-10,Retail,Paid Ads,3,11.3,0,0,1,0,0,20,64,0
51-200,Healthcare,Paid Ads,6,10.3,1,1,1,0,0,16,51,0
11-50,Financial Services,Organic Search,6,7.2,3,0,1,0,0,153,32,0
501-1000,Professional Services,Organic Search,6,11.1,1,1,1,0,0,137,82,1
11-50,Retail,Social Media,1,8.1,4,1,2,0,1,27,54,0
51-200,Financial Services,Direct,7,10.6,7,1,2,0,1,117,3,1
51-200,Healthcare,Direct,5,2.8,6,0,1,0,0,51,14,1
11-50,Healthcare,Direct,3,10.9,3,2,1,0,0,73,60,0
201-500,Professional Services,Direct,2,8.3,6,2,1,0,0,113,1,1
201-500,Retail,Organic Search,5,4.3,7,2,2,0,0,115,15,0
51-200,Retail,Paid Ads,6,12.0,5,2,1,1,0,64,8,1
201-500,Retail,Organic Search,1,8.6,4,0,3,1,1,149,72,1
1000+,Financial Services,Social Media,6,11.0,3,2,2,1,0,92,9,1
51-200,Healthcare,Direct,7,1.1,0,0,3,1,0,146,18,1
51-200,Technology,Organic Search,2,7.1,3,1,1,1,0,102,88,0
1-10,Professional Services,Referral,11,8.8,4,3,1,0,0,64,10,0
201-500,Healthcare,Referral,4,1.2,3,1,0,0,0,47,21,0
51-200,Healthcare,Organic Search,9,9.4,4,0,1,0,0,3,73,0
51-200,Financial Services,Event,1,8.2,3,3,0,0,1,96,12,0
1-10,Financial Services,Paid Ads,3,4.0,4,0,3,1,0,100,20,0
501-1000,Manufacturing,Paid Ads,10,8.6,2,1,0,0,0,169,71,0
11-50,Financial Services,Direct,7,2.4,4,1,2,0,1,47,0,1
201-500,Technology,Organic Search,5,10.1,2,0,0,0,0,1,32,0
1-10,Professional Services,Paid Ads,4,10.5,2,1,1,0,0,161,23,0
1000+,Healthcare,Event,2,6.3,2,1,1,0,0,107,18,1
11-50,Healthcare,Referral,3,6.6,4,0,5,0,0,9,35,1
11-50,Healthcare,Social Media,6,5.4,0,0,5,0,0,58,19,1
501-1000,Professional Services,Referral,8,4.8,7,0,2,0,0,174,69,0
1000+,Financial Services,Paid Ads,6,10.6,8,2,0,0,1,155,12,0
11-50,Professional Services,Organic Search,5,4.4,3,2,1,0,0,100,35,1
51-200,Education,Direct,3,5.4,4,2,0,0,0,18,7,0
201-500,Retail,Paid Ads,3,4.3,1,1,1,1,0,117,9,1
501-1000,Healthcare,Direct,1,8.2,3,3,3,0,1,11,61,1
11-50,Retail,Organic Search,6,10.0,2,1,2,0,0,71,40,1
51-200,Healthcare,Direct,4,2.8,1,1,2,1,0,73,39,1
201-500,Healthcare,Direct,8,3.8,4,1,2,1,0,140,24,1
201-500,Manufacturing,Organic Search,7,2.1,3,0,4,0,1,121,13,0
201-500,Financial Services,Social Media,9,2.8,7,2,2,0,0,86,78,0
51-200,Technology,Event,5,5.5,2,0,0,1,0,2,71,0
1-10,Healthcare,Social Media,3,9.5,2,2,1,0,0,4,41,0
1000+,Technology,Direct,5,7.0,4,2,2,1,1,146,1,0
501-1000,Healthcare,Organic Search,4,1.6,4,3,2,0,0,117,80,0
201-500,Manufacturing,Direct,3,7.9,3,2,1,1,0,61,38,0
1-10,Education,Referral,7,9.7,3,0,2,1,0,135,17,0
11-50,Technology,Paid Ads,6,5.3,4,0,1,0,0,165,11,1
201-500,Retail,Referral,3,3.7,5,3,1,1,0,3,89,1
1-10,Healthcare,Paid Ads,3,9.4,2,1,2,0,0,163,2,1
1000+,Technology,Referral,6,1.3,3,2,0,0,0,45,33,0
11-50,Financial Services,Organic Search,7,10.0,3,0,2,0,0,137,49,0
201-500,Technology,Event,6,9.8,7,3,2,0,0,106,26,1
501-1000,Financial Services,Paid Ads,3,10.8,5,2,3,0,0,132,13,1
11-50,Financial Services,Referral,5,2.0,9,1,2,0,0,22,57,1
11-50,Healthcare,Direct,7,2.2,4,2,1,0,0,108,6,0
51-200,Manufacturing,Direct,1,10.6,2,0,1,0,1,174,87,0
51-200,Technology,Event,9,6.2,1,0,2,1,1,143,43,1
51-200,Technology,Organic Search,7,5.3,2,0,3,1,0,143,66,1
51-200,Technology,Direct,5,7.3,1,1,0,0,0,32,75,0
1000+,Manufacturing,Organic Search,3,1.6,0,0,1,1,0,50,71,0
51-200,Financial Services,Paid Ads,5,8.1,4,0,0,0,1,147,43,0
11-50,Manufacturing,Direct,6,11.4,3,1,0,0,0,73,6,0
11-50,Financial Services,Organic Search,6,8.4,2,0,0,1,0,102,7,0
11-50,Technology,Organic Search,7,6.1,4,3,3,0,0,30,32,0
1-10,Education,Referral,6,11.6,5,0,0,0,0,140,27,1
11-50,Technology,Referral,7,8.6,4,3,3,1,0,80,79,0
201-500,Technology,Paid Ads,4,1.6,4,0,1,0,0,89,40,0
11-50,Technology,Event,4,8.4,1,1,4,0,0,171,89,1
1000+,Education,Direct,3,1.7,3,0,0,0,0,113,25,0
11-50,Retail,Direct,4,4.4,2,1,2,0,0,79,87,0
1-10,Retail,Organic Search,7,7.8,4,0,0,0,0,62,30,1
201-500,Education,Social Media,6,3.4,4,0,0,1,0,108,89,0
501-1000,Technology,Direct,5,1.4,5,0,0,0,0,76,45,0
11-50,Education,Organic Search,2,7.8,5,2,1,0,0,41,1,0
11-50,Financial Services,Referral,3,4.1,0,0,3,0,1,66,84,0
11-50,Retail,Organic Search,7,6.9,2,1,0,0,0,52,18,0
51-200,Healthcare,Organic Search,0,3.9,2,1,0,0,0,133,72,0
51-200,Healthcare,Organic Search,7,8.6,4,1,0,1,0,90,73,0
11-50,Education,Social Media,9,10.9,3,2,1,1,0,36,18,0
1-10,Technology,Social Media,6,2.0,3,1,0,0,0,27,51,0
51-200,Education,Organic Search,8,9.6,1,1,2,0,1,167,70,1
1000+,Healthcare,Referral,4,2.7,3,1,0,1,0,160,85,0
201-500,Retail,Organic Search,8,4.6,3,2,2,0,0,149,35,0
51-200,Education,Organic Search,10,4.9,4,2,1,0,1,132,36,1
1-10,Technology,Direct,6,3.3,2,1,2,0,0,155,73,0
11-50,Education,Paid Ads,7,1.8,4,1,1,0,0,116,44,0
11-50,Manufacturing,Event,5,9.5,2,2,3,1,0,164,55,0
201-500,Retail,Paid Ads,5,9.7,2,1,2,0,0,165,10,0
501-1000,Technology,Organic Search,7,12.0,5,1,1,0,0,79,61,1
1000+,Manufacturing,Direct,7,11.3,3,1,0,0,0,45,30,0
1000+,Retail,Organic Search,5,5.8,3,0,0,1,0,160,32,0
1000+,Healthcare,Paid Ads,6,2.5,1,0,0,0,1,148,81,1
1000+,Technology,Social Media,4,1.1,3,1,5,1,0,80,64,1
1-10,Financial Services,Referral,4,6.8,4,1,4,1,0,163,50,1
1-10,Professional Services,Direct,4,10.5,5,5,2,1,0,19,50,0
11-50,Technology,Direct,1,3.9,4,0,1,0,1,148,77,0
51-200,Retail,Organic Search,10,3.2,2,0,0,1,0,9,55,0
1-10,Education,Organic Search,9,5.8,2,0,1,0,0,19,18,0
501-1000,Technology,Social Media,2,10.8,3,3,1,1,0,12,49,0
51-200,Technology,Organic Search,7,6.0,3,1,0,0,0,15,56,1
51-200,Retail,Referral,3,8.9,6,2,1,0,0,34,5,0
11-50,Technology,Paid Ads,7,6.1,2,0,0,0,0,65,11,0
11-50,Manufacturing,Direct,4,5.1,5,2,0,1,0,65,42,0
11-50,Retail,Direct,4,5.9,0,0,1,0,0,76,51,1
501-1000,Manufacturing,Paid Ads,9,9.5,7,3,1,0,0,176,4,0
51-200,Healthcare,Organic Search,7,9.3,2,0,0,1,0,92,40,1
201-500,Retail,Direct,5,5.7,1,1,0,0,1,44,15,0
11-50,Manufacturing,Organic Search,3,3.9,3,1,0,0,0,25,60,0
11-50,Financial Services,Organic Search,6,2.5,6,1,2,0,0,164,42,0
51-200,Manufacturing,Paid Ads,5,1.0,3,0,1,1,0,50,8,0
201-500,Professional Services,Paid Ads,5,2.2,6,0,4,0,0,146,36,1
201-500,Retail,Organic Search,3,2.8,2,1,2,0,0,142,83,0
11-50,Manufacturing,Paid Ads,2,8.6,3,1,1,1,0,155,4,1
1000+,Financial Services,Organic Search,7,10.0,5,0,2,1,0,27,36,1
1-10,Technology,Event,6,9.1,1,0,0,0,0,141,12,0
501-1000,Financial Services,Paid Ads,6,9.0,0,0,1,0,1,141,81,0
1-10,Technology,Event,9,11.9,4,1,0,0,1,175,41,1
11-50,Education,Social Media,2,11.6,5,0,1,0,0,127,56,0
501-1000,Financial Services,Referral,3,4.0,7,1,0,0,1,22,87,1
11-50,Professional Services,Direct,11,2.6,3,1,1,1,0,82,4,0
51-200,Technology,Paid Ads,2,2.7,3,1,0,0,0,86,43,1
51-200,Financial Services,Organic Search,7,10.9,2,2,2,0,0,85,6,0
11-50,Healthcare,Referral,7,2.1,4,1,4,0,0,62,69,1
201-500,Financial Services,Organic Search,5,4.7,4,0,0,1,0,144,52,0
501-1000,Professional Services,Paid Ads,6,6.8,3,0,1,0,0,51,39,1
501-1000,Education,Direct,10,7.7,2,2,0,0,0,80,26,0
11-50,Professional Services,Direct,5,7.6,1,0,1,0,0,80,17,0
51-200,Technology,Referral,3,9.7,1,0,1,1,0,116,82,0
11-50,Professional Services,Referral,4,7.3,2,1,2,0,0,87,1,1
11-50,Technology,Referral,3,10.4,4,1,4,0,0,174,11,1
11-50,Education,Organic Search,4,1.9,9,2,1,1,1,177,33,1
1000+,Manufacturing,Paid Ads,3,10.4,0,0,1,0,0,84,35,0
501-1000,Financial Services,Referral,7,7.5,1,1,3,0,0,48,82,0
201-500,Technology,Paid Ads,2,3.5,3,1,2,0,0,137,28,0
51-200,Technology,Organic Search,4,11.8,4,2,1,0,1,164,29,1
51-200,Financial Services,Social Media,7,11.3,5,0,1,0,0,159,21,1
51-200,Education,Referral,6,10.3,4,1,1,0,0,30,33,0
51-200,Professional Services,Paid Ads,2,11.0,5,1,1,0,0,10,24,0
51-200,Education,Direct,11,5.2,5,1,0,1,0,120,62,0
1-10,Technology,Event,3,3.5,4,2,0,0,0,54,71,0
1-10,Manufacturing,Referral,5,3.0,4,2,2,0,0,55,66,0
1000+,Financial Services,Organic Search,4,10.6,2,1,0,0,0,6,72,0
51-200,Manufacturing,Social Media,4,10.1,6,0,1,0,0,172,54,0
1000+,Financial Services,Social Media,6,11.8,3,3,1,1,0,1,61,1
11-50,Financial Services,Referral,6,10.3,2,0,2,0,0,114,30,0
51-200,Manufacturing,Social Media,4,8.0,1,0,1,0,0,166,89,0
11-50,Technology,Organic Search,3,2.6,4,0,0,0,0,12,85,0
11-50,Healthcare,Paid Ads,2,2.8,1,1,1,0,0,111,5,0
1-10,Retail,Direct,1,6.2,3,1,3,0,1,166,31,0
1-10,Technology,Organic Search,2,9.4,4,0,1,0,0,74,62,1
1000+,Education,Referral,6,2.9,2,0,1,1,0,53,26,1
11-50,Manufacturing,Direct,5,11.1,4,1,1,0,0,127,46,1
51-200,Professional Services,Organic Search,2,8.5,2,0,2,0,0,167,75,1
51-200,Retail,Direct,0,4.4,1,1,3,0,0,101,79,0
51-200,Retail,Direct,7,10.7,4,1,2,1,0,3,84,0
51-200,Retail,Social Media,9,7.6,4,0,4,0,0,123,58,0
11-50,Professional Services,Social Media,6,9.1,2,0,3,0,1,40,86,0
1000+,Retail,Direct,6,5.2,2,0,2,1,0,178,58,1
501-1000,Financial Services,Organic Search,4,5.3,3,0,0,1,0,50,47,0
201-500,Technology,Social Media,5,1.1,3,2,0,0,0,114,18,0
51-200,Retail,Paid Ads,3,6.9,0,0,0,0,0,124,78,0
11-50,Technology,Direct,1,9.4,3,1,0,0,0,80,23,0
1000+,Financial Services,Referral,3,11.7,2,2,2,0,0,143,16,0
11-50,Technology,Event,7,10.8,1,1,0,0,0,161,68,0
1-10,Manufacturing,Organic Search,3,2.0,3,0,2,0,0,113,80,0
11-50,Technology,Organic Search,5,11.8,1,0,1,0,0,136,87,0
201-500,Retail,Event,3,2.6,2,0,1,0,0,12,68,0
51-200,Professional Services,Paid Ads,8,1.5,3,0,3,1,0,44,86,0
201-500,Professional Services,Referral,8,9.2,0,0,0,1,0,78,35,1
201-500,Financial Services,Social Media,6,11.0,2,0,0,0,0,24,9,0
11-50,Manufacturing,Organic Search,4,11.4,1,0,0,0,1,89,22,1
1000+,Manufacturing,Paid Ads,1,10.1,1,0,0,1,0,14,14,0
51-200,Manufacturing,Paid Ads,5,3.3,4,0,0,0,0,65,68,0
51-200,Retail,Direct,5,2.7,3,0,1,0,0,12,38,1
1-10,Financial Services,Organic Search,7,1.6,0,0,2,0,0,76,38,0
1000+,Education,Paid Ads,3,7.4,6,0,3,0,0,73,82,0
11-50,Technology,Direct,1,6.4,3,0,2,0,1,87,88,0
1-10,Professional Services,Event,7,2.2,1,1,3,1,0,178,13,0
51-200,Manufacturing,Social Media,5,6.1,3,2,3,0,1,100,76,1
1-10,Financial Services,Referral,1,7.2,3,1,0,0,0,27,57,0
11-50,Retail,Event,4,9.0,2,1,2,1,0,113,71,1
51-200,Technology,Direct,6,5.6,5,1,4,0,0,176,85,0
11-50,Professional Services,Direct,2,4.5,4,3,1,0,0,38,30,0
1000+,Manufacturing,Social Media,9,8.3,3,3,1,1,0,15,72,0
11-50,Technology,Social Media,4,8.5,0,0,2,0,0,162,64,0
201-500,Technology,Event,5,4.0,2,2,4,0,0,31,59,0
51-200,Professional Services,Event,2,1.2,4,0,1,0,0,149,68,0
201-500,Financial Services,Social Media,6,11.4,3,0,0,0,0,77,69,1
51-200,Professional Services,Organic Search,5,9.3,5,0,1,0,0,141,36,0
51-200,Professional Services,Event,5,3.2,3,3,2,1,1,128,83,0
1000+,Retail,Paid Ads,5,7.2,3,3,0,0,0,145,8,1
11-50,Financial Services,Organic Search,9,7.5,1,1,6,0,1,137,16,1
11-50,Retail,Organic Search,8,2.4,9,0,3,1,0,95,66,0
201-500,Education,Organic Search,0,3.1,3,2,1,0,0,44,41,1
501-1000,Technology,Referral,2,11.5,1,1,1,1,0,171,26,1
1-10,Financial Services,Organic Search,2,6.6,5,0,2,0,0,34,45,0
51-200,Financial Services,Social Media,7,3.1,5,2,7,0,0,66,11,1
501-1000,Healthcare,Direct,5,9.8,3,0,0,0,0,51,0,1
201-500,Retail,Organic Search,6,6.2,3,0,0,0,0,76,3,1
1000+,Manufacturing,Organic Search,6,8.0,4,0,0,1,0,45,80,1
51-200,Manufacturing,Organic Search,6,4.3,2,1,1,0,0,147,29,0
201-500,Financial Services,Event,4,1.6,7,0,1,1,0,79,81,1
11-50,Technology,Paid Ads,8,2.8,2,2,0,1,0,156,45,0
1000+,Financial Services,Organic Search,6,11.7,5,0,1,0,0,6,27,0
11-50,Professional Services,Organic Search,2,7.9,1,1,0,1,1,81,3,0
201-500,Retail,Organic Search,4,10.1,2,0,5,0,0,105,9,0
51-200,Healthcare,Social Media,2,1.2,5,1,0,0,0,152,50,0
51-200,Professional Services,Social Media,2,9.4,3,2,0,0,0,131,55,0
201-500,Technology,Paid Ads,4,6.3,6,2,3,0,0,114,80,1
51-200,Financial Services,Paid Ads,7,8.3,1,0,4,0,1,152,17,1
1000+,Financial Services,Social Media,1,4.9,1,1,1,0,0,70,53,0
51-200,Education,Direct,4,7.8,3,1,2,0,0,172,7,1
51-200,Retail,Social Media,5,1.4,3,1,0,1,1,163,47,0
11-50,Retail,Event,5,1.5,6,0,2,1,0,163,15,1
51-200,Technology,Direct,5,9.8,0,0,0,0,1,91,20,1
51-200,Technology,Paid Ads,8,2.4,2,0,1,1,0,17,37,0
1-10,Retail,Organic Search,4,1.2,4,2,1,1,0,152,39,0
1-10,Healthcare,Social Media,4,11.0,2,1,2,1,1,75,10,0
201-500,Education,Organic Search,1,3.9,2,0,2,0,0,146,54,0
201-500,Professional Services,Paid Ads,5,7.4,3,0,2,0,0,10,36,0
201-500,Healthcare,Social Media,2,10.2,1,1,1,0,0,18,77,0
1-10,Retail,Referral,7,9.2,3,3,0,0,0,63,54,0
11-50,Education,Paid Ads,5,1.5,5,1,0,0,0,156,79,0
11-50,Healthcare,Referral,1,7.2,3,1,3,0,0,6,1,0
201-500,Retail,Organic Search,1,7.0,3,1,1,0,0,30,40,0
501-1000,Education,Organic Search,4,4.9,4,2,0,0,0,89,75,1
11-50,Financial Services,Paid Ads,7,9.3,2,2,1,0,1,146,16,1
201-500,Professional Services,Organic Search,2,11.6,1,1,0,0,0,28,19,1
1-10,Technology,Direct,6,2.6,0,0,0,0,0,136,63,0
11-50,Retail,Paid Ads,4,2.6,2,0,1,1,0,88,1,0
1-10,Professional Services,Direct,0,9.1,1,1,4,1,1,132,85,0
11-50,Retail,Direct,4,6.0,6,1,1,1,0,129,84,1
201-500,Manufacturing,Paid Ads,6,9.7,2,1,2,0,0,165,86,0
1000+,Retail,Paid Ads,8,2.6,2,0,3,0,0,11,70,0
11-50,Technology,Direct,4,1.4,1,1,2,0,0,108,89,0
51-200,Financial Services,Organic Search,6,8.7,2,1,1,0,1,82,87,1
201-500,Financial Services,Referral,3,11.9,7,0,1,1,0,61,22,0
1000+,Manufacturing,Paid Ads,9,2.0,3,0,1,0,0,133,13,0
51-200,Healthcare,Event,5,10.5,3,1,1,0,0,107,75,0
11-50,Financial Services,Event,8,5.2,5,1,2,1,0,80,40,1
51-200,Professional Services,Social Media,5,1.2,2,0,1,0,0,125,4,1
11-50,Healthcare,Paid Ads,4,6.6,1,1,1,0,0,103,40,0
1000+,Healthcare,Referral,7,4.1,4,1,1,1,0,66,1,0
11-50,Healthcare,Referral,2,8.6,6,0,5,0,0,61,51,1
201-500,Technology,Social Media,4,4.2,1,0,1,1,0,46,60,1
1-10,Retail,Direct,2,6.3,0,0,0,0,0,54,4,0
51-200,Healthcare,Organic Search,8,3.2,3,2,2,0,0,88,10,1
501-1000,Technology,Organic Search,8,10.1,3,0,2,0,0,33,81,0
51-200,Education,Organic Search,10,11.2,4,1,2,0,0,161,34,1
51-200,Professional Services,Social Media,4,5.4,2,2,0,0,0,105,4,1
1000+,Retail,Direct,3,5.9,1,0,1,0,1,113,1,0
501-1000,Professional Services,Paid Ads,5,11.8,8,2,2,0,0,103,35,0
11-50,Education,Paid Ads,2,2.6,5,1,2,0,1,161,7,1
51-200,Financial Services,Direct,4,9.9,2,2,2,0,0,147,12,0
51-200,Retail,Organic Search,6,7.2,7,0,3,0,0,86,18,0
51-200,Retail,Direct,4,10.7,3,1,1,0,0,62,63,0
11-50,Financial Services,Direct,6,4.2,2,0,5,0,0,170,49,0
11-50,Financial Services,Event,6,4.3,2,0,0,0,0,108,69,0
1000+,Technology,Paid Ads,5,4.6,7,1,1,1,0,142,29,0
1000+,Retail,Social Media,2,1.2,4,0,1,0,1,25,7,1
501-1000,Professional Services,Paid Ads,4,2.9,4,2,1,1,0,64,50,0
1000+,Professional Services,Organic Search,4,11.9,4,0,1,0,1,48,86,0
201-500,Financial Services,Organic Search,5,3.7,1,1,0,0,0,81,58,0
201-500,Financial Services,Organic Search,8,1.2,3,2,0,0,1,91,21,1
201-500,Healthcare,Direct,2,4.1,2,1,0,0,0,179,0,0
51-200,Manufacturing,Social Media,6,5.5,5,0,2,1,0,19,7,1
51-200,Education,Paid Ads,6,7.0,4,2,1,1,0,171,76,0
11-50,Professional Services,Referral,5,1.8,2,0,1,0,1,146,26,1
51-200,Education,Social Media,6,9.7,4,0,3,0,0,74,5,0
11-50,Professional Services,Organic Search,5,10.1,4,3,1,0,0,51,30,1
11-50,Education,Paid Ads,5,3.3,3,1,3,0,1,150,78,1
51-200,Healthcare,Referral,9,9.8,5,0,2,0,0,25,38,1
51-200,Technology,Event,4,5.0,5,0,1,0,0,163,87,0
11-50,Technology,Organic Search,5,5.7,3,1,3,0,0,169,45,0
501-1000,Healthcare,Direct,6,11.3,2,1,0,0,0,46,81,0
501-1000,Financial Services,Social Media,6,10.8,5,0,2,0,1,101,18,1
11-50,Technology,Referral,6,5.1,6,0,0,0,0,93,48,1
1-10,Education,Organic Search,4,6.4,2,2,1,0,0,138,42,0
11-50,Technology,Referral,7,4.2,0,0,2,0,0,136,69,1
201-500,Education,Paid Ads,8,6.7,1,0,4,0,0,179,12,0
501-1000,Professional Services,Organic Search,5,8.5,4,2,1,0,0,14,15,1
1-10,Retail,Direct,7,2.0,2,1,1,0,0,147,20,0
201-500,Retail,Referral,6,11.1,3,3,1,0,0,145,84,0
1-10,Financial Services,Organic Search,6,8.9,3,1,1,0,0,133,80,0
11-50,Retail,Paid Ads,8,2.1,1,1,3,0,0,38,2,1
1000+,Technology,Organic Search,5,10.6,5,0,0,0,0,133,37,0
11-50,Education,Direct,3,9.2,2,2,3,0,1,86,49,0
11-50,Financial Services,Organic Search,7,4.4,2,0,2,0,1,50,80,0
51-200,Financial Services,Referral,6,6.7,2,1,1,0,0,68,41,0
51-200,Retail,Social Media,8,10.5,4,0,3,0,1,75,69,1
1000+,Retail,Organic Search,4,11.6,6,2,3,0,1,133,71,1
1000+,Healthcare,Paid Ads,7,4.1,3,2,2,0,0,36,46,0
1-10,Retail,Social Media,10,8.2,1,0,1,0,0,42,67,0
1-10,Technology,Direct,6,10.5,7,1,2,1,0,67,6,1
201-500,Retail,Social Media,6,11.9,2,1,1,0,0,84,29,0
11-50,Financial Services,Organic Search,6,1.8,6,1,1,0,0,170,76,0
501-1000,Financial Services,Paid Ads,2,6.5,5,1,0,0,0,48,14,1
201-500,Technology,Paid Ads,7,10.6,3,1,2,1,0,163,45,1
1-10,Financial Services,Paid Ads,13,1.0,3,2,2,0,0,10,71,0
501-1000,Financial Services,Direct,4,5.8,4,2,1,0,0,92,46,0
11-50,Healthcare,Organic Search,6,7.4,4,1,2,0,1,151,87,1
51-200,Technology,Paid Ads,8,6.8,6,2,5,0,0,56,76,1
51-200,Technology,Referral,4,9.1,3,2,0,1,0,41,8,1
51-200,Manufacturing,Organic Search,3,1.7,2,2,4,0,1,109,47,0
201-500,Technology,Referral,8,9.6,6,0,3,1,0,42,65,1
201-500,Retail,Organic Search,7,4.1,6,0,0,1,0,3,67,0
1000+,Education,Event,5,10.1,2,1,1,0,0,9,46,0
1000+,Healthcare,Paid Ads,5,5.6,1,1,1,1,0,86,36,0
51-200,Education,Referral,8,1.5,3,1,3,0,0,90,28,1
1-10,Technology,Social Media,5,11.6,2,0,2,0,0,5,31,0
201-500,Technology,Paid Ads,4,9.6,4,1,2,0,0,49,1,0
1000+,Retail,Paid Ads,5,4.8,1,0,2,0,0,136,77,0
11-50,Professional Services,Referral,6,4.0,3,3,1,0,0,102,65,0
51-200,Professional Services,Event,3,7.5,4,0,1,0,1,110,25,0
51-200,Technology,Referral,6,11.9,1,0,0,0,0,130,11,0
1-10,Professional Services,Referral,4,4.2,0,0,1,0,0,162,47,0
201-500,Healthcare,Referral,3,11.4,2,1,1,0,0,9,76,0
11-50,Financial Services,Paid Ads,5,4.6,0,0,1,0,0,87,89,0
201-500,Technology,Social Media,4,8.7,6,1,1,0,0,36,23,0
501-1000,Education,Organic Search,5,5.2,2,0,2,0,0,120,39,0
501-1000,Technology,Referral,5,1.9,4,0,3,0,1,70,53,1
51-200,Professional Services,Direct,4,11.3,5,3,1,1,0,28,53,0
11-50,Retail,Social Media,3,2.8,0,0,3,1,0,158,25,0
